university,course_name,annual_fees,admission_mode,duration
University of London,MBA / Master of Business,29934,GMAT/GRE/Entrance,1 or 2 years
Belfast Royal College,M.Sc Data Science,27245,Entrance/GRE,1 or 2 years
Belfast Royal College,MBA / Master of Business,42881,GMAT/GRE/Entrance,1 or 2 years
Belfast Royal College,B.A. Economics,16649,Merit Based,3 or 4 years
Belfast Royal College,BBA / Business Administration,26438,Merit Based,3 or 4 years
Sheffield Metropolitan University,B.Sc Physics,20548,Merit Based,3 or 4 years
Sheffield Metropolitan University,B.Sc Computer Science,23168,Entrance Exam/Merit,3 or 4 years
Sheffield Metropolitan University,MS Artificial Intelligence,29229,Entrance Exam/Merit,1 or 2 years
Cardiff Metropolitan University,B.Sc Computer Science,23420,Entrance Exam/Merit,3 or 4 years
Cardiff Metropolitan University,Medical Degree / MD,74399,Entrance Exam,5+ years
Cardiff Metropolitan University,B.Sc Physics,18210,Merit Based,3 or 4 years
Cardiff Metropolitan University,MBA / Master of Business,26576,GMAT/GRE/Entrance,1 or 2 years
London Institute,B.A. Economics,13632,Merit Based,3 or 4 years
London Institute,B.Sc Physics,16314,Merit Based,3 or 4 years
London Institute,MBA / Master of Business,53227,GMAT/GRE/Entrance,1 or 2 years
London Institute,B.Sc Computer Science,19099,Entrance Exam/Merit,3 or 4 years
Nottingham Metropolitan University,B.A. Economics,19108,Merit Based,3 or 4 years
Nottingham Metropolitan University,Medical Degree / MD,44359,Entrance Exam,5+ years
Nottingham Metropolitan University,MBA / Master of Business,49912,GMAT/GRE/Entrance,1 or 2 years
Nottingham Metropolitan University,BBA / Business Administration,19908,Merit Based,3 or 4 years
Nottingham Metropolitan University,M.Sc Data Science,20463,Entrance/GRE,1 or 2 years
Bristol College London,MBA / Master of Business,52698,GMAT/GRE/Entrance,1 or 2 years
Bristol College London,MS Artificial Intelligence,40224,Entrance Exam/Merit,1 or 2 years
Bristol College London,M.Sc Data Science,39272,Entrance/GRE,1 or 2 years
Bristol College London,Medical Degree / MD,37884,Entrance Exam,5+ years
Leicester Royal College,BBA / Business Administration,21486,Merit Based,3 or 4 years
Leicester Royal College,M.Sc Data Science,31967,Entrance/GRE,1 or 2 years
Leicester Royal College,MS Artificial Intelligence,44493,Entrance Exam/Merit,1 or 2 years
Cambridge City University,MS Artificial Intelligence,30311,Entrance Exam/Merit,1 or 2 years
Cambridge City University,Medical Degree / MD,35759,Entrance Exam,5+ years
Cambridge City University,MBA / Master of Business,31422,GMAT/GRE/Entrance,1 or 2 years
Cambridge City University,B.A. Economics,12842,Merit Based,3 or 4 years
Cambridge City University,M.Sc Data Science,22969,Entrance/GRE,1 or 2 years
Oxford Metropolitan University,MBA / Master of Business,37420,GMAT/GRE/Entrance,1 or 2 years
Oxford Metropolitan University,B.Sc Computer Science,23567,Entrance Exam/Merit,3 or 4 years
Oxford Metropolitan University,Medical Degree / MD,60718,Entrance Exam,5+ years
Oxford City University,M.Sc Data Science,37974,Entrance/GRE,1 or 2 years
Oxford City University,B.A. Economics,27953,Merit Based,3 or 4 years
Oxford City University,BBA / Business Administration,21589,Merit Based,3 or 4 years
Oxford City University,B.Sc Computer Science,22893,Entrance Exam/Merit,3 or 4 years
Oxford City University,MS Artificial Intelligence,38601,Entrance Exam/Merit,1 or 2 years
Liverpool Institute,B.Sc Physics,19286,Merit Based,3 or 4 years
Liverpool Institute,M.Sc Data Science,18861,Entrance/GRE,1 or 2 years
Liverpool Institute,MS Artificial Intelligence,28154,Entrance Exam/Merit,1 or 2 years
Liverpool Institute,B.Sc Computer Science,33488,Entrance Exam/Merit,3 or 4 years
University of Sheffield,B.Sc Computer Science,23826,Entrance Exam/Merit,3 or 4 years
University of Sheffield,BBA / Business Administration,23495,Merit Based,3 or 4 years
University of Sheffield,MS Artificial Intelligence,20282,Entrance Exam/Merit,1 or 2 years
Nottingham City University,B.Sc Computer Science,27264,Entrance Exam/Merit,3 or 4 years
Nottingham City University,B.A. Economics,18473,Merit Based,3 or 4 years
Nottingham City University,Medical Degree / MD,40798,Entrance Exam,5+ years
Nottingham City University,BBA / Business Administration,21407,Merit Based,3 or 4 years
Nottingham City University,B.Sc Physics,20050,Merit Based,3 or 4 years
London College London,B.Sc Physics,14633,Merit Based,3 or 4 years
London College London,MS Artificial Intelligence,38870,Entrance Exam/Merit,1 or 2 years
London College London,M.Sc Data Science,21964,Entrance/GRE,1 or 2 years
London College London,BBA / Business Administration,17827,Merit Based,3 or 4 years
Manchester Royal College,B.Sc Computer Science,21928,Entrance Exam/Merit,3 or 4 years
Manchester Royal College,B.A. Economics,21545,Merit Based,3 or 4 years
Manchester Royal College,Medical Degree / MD,59883,Entrance Exam,5+ years
Birmingham Metropolitan University,M.Sc Data Science,18439,Entrance/GRE,1 or 2 years
Birmingham Metropolitan University,B.Sc Computer Science,32089,Entrance Exam/Merit,3 or 4 years
Birmingham Metropolitan University,BBA / Business Administration,24491,Merit Based,3 or 4 years
Birmingham Metropolitan University,MBA / Master of Business,30136,GMAT/GRE/Entrance,1 or 2 years
Bristol City University,B.Sc Computer Science,17210,Entrance Exam/Merit,3 or 4 years
Bristol City University,BBA / Business Administration,18616,Merit Based,3 or 4 years
Bristol City University,M.Sc Data Science,27707,Entrance/GRE,1 or 2 years
Bristol City University,Medical Degree / MD,58003,Entrance Exam,5+ years
Bristol City University,MS Artificial Intelligence,29506,Entrance Exam/Merit,1 or 2 years
University of Belfast,M.Sc Data Science,25802,Entrance/GRE,1 or 2 years
University of Belfast,B.A. Economics,18625,Merit Based,3 or 4 years
University of Belfast,BBA / Business Administration,20935,Merit Based,3 or 4 years
University of Belfast,MBA / Master of Business,28004,GMAT/GRE/Entrance,1 or 2 years
Newcastle Metropolitan University,MBA / Master of Business,29722,GMAT/GRE/Entrance,1 or 2 years
Newcastle Metropolitan University,BBA / Business Administration,17379,Merit Based,3 or 4 years
Newcastle Metropolitan University,M.Sc Data Science,24162,Entrance/GRE,1 or 2 years
Belfast City University,Medical Degree / MD,40128,Entrance Exam,5+ years
Belfast City University,B.A. Economics,12525,Merit Based,3 or 4 years
Belfast City University,B.Sc Physics,17340,Merit Based,3 or 4 years
Belfast City University,MBA / Master of Business,56682,GMAT/GRE/Entrance,1 or 2 years
Belfast City University,M.Sc Data Science,24180,Entrance/GRE,1 or 2 years
University of Cardiff,Medical Degree / MD,76059,Entrance Exam,5+ years
University of Cardiff,B.A. Economics,27352,Merit Based,3 or 4 years
University of Cardiff,M.Sc Data Science,27808,Entrance/GRE,1 or 2 years
Sheffield College London,MS Artificial Intelligence,34922,Entrance Exam/Merit,1 or 2 years
Sheffield College London,B.Sc Computer Science,26126,Entrance Exam/Merit,3 or 4 years
Sheffield College London,BBA / Business Administration,17418,Merit Based,3 or 4 years
Sheffield College London,M.Sc Data Science,37183,Entrance/GRE,1 or 2 years
Sheffield College London,B.Sc Physics,20596,Merit Based,3 or 4 years
Leicester City University,M.Sc Data Science,25557,Entrance/GRE,1 or 2 years
Leicester City University,MS Artificial Intelligence,21259,Entrance Exam/Merit,1 or 2 years
Leicester City University,Medical Degree / MD,53361,Entrance Exam,5+ years
Birmingham Institute,B.Sc Computer Science,30591,Entrance Exam/Merit,3 or 4 years
Birmingham Institute,M.Sc Data Science,39608,Entrance/GRE,1 or 2 years
Birmingham Institute,B.A. Economics,17098,Merit Based,3 or 4 years
Birmingham Institute,BBA / Business Administration,24460,Merit Based,3 or 4 years
Cambridge Royal College,Medical Degree / MD,72283,Entrance Exam,5+ years
Cambridge Royal College,B.Sc Computer Science,19996,Entrance Exam/Merit,3 or 4 years
Cambridge Royal College,B.Sc Physics,18831,Merit Based,3 or 4 years
York City University,BBA / Business Administration,24491,Merit Based,3 or 4 years
York City University,B.A. Economics,17724,Merit Based,3 or 4 years
York City University,MBA / Master of Business,39556,GMAT/GRE/Entrance,1 or 2 years
York City University,MS Artificial Intelligence,29703,Entrance Exam/Merit,1 or 2 years
University of Nottingham,B.Sc Computer Science,27540,Entrance Exam/Merit,3 or 4 years
University of Nottingham,BBA / Business Administration,20109,Merit Based,3 or 4 years
University of Nottingham,MBA / Master of Business,42387,GMAT/GRE/Entrance,1 or 2 years
University of Nottingham,MS Artificial Intelligence,20346,Entrance Exam/Merit,1 or 2 years
University of Nottingham,B.Sc Physics,16213,Merit Based,3 or 4 years
Coventry Metropolitan University,B.A. Economics,20980,Merit Based,3 or 4 years
Coventry Metropolitan University,MS Artificial Intelligence,42287,Entrance Exam/Merit,1 or 2 years
Coventry Metropolitan University,B.Sc Physics,17568,Merit Based,3 or 4 years
Coventry Metropolitan University,BBA / Business Administration,15265,Merit Based,3 or 4 years
Coventry Metropolitan University,M.Sc Data Science,32430,Entrance/GRE,1 or 2 years
Cambridge Metropolitan University,BBA / Business Administration,15941,Merit Based,3 or 4 years
Cambridge Metropolitan University,MBA / Master of Business,51383,GMAT/GRE/Entrance,1 or 2 years
Cambridge Metropolitan University,B.A. Economics,18038,Merit Based,3 or 4 years
Cambridge Metropolitan University,Medical Degree / MD,78192,Entrance Exam,5+ years
Cambridge Metropolitan University,MS Artificial Intelligence,41333,Entrance Exam/Merit,1 or 2 years
University of Liverpool,Medical Degree / MD,71047,Entrance Exam,5+ years
University of Liverpool,MBA / Master of Business,51115,GMAT/GRE/Entrance,1 or 2 years
University of Liverpool,B.Sc Physics,19367,Merit Based,3 or 4 years
Southampton Metropolitan University,M.Sc Data Science,28321,Entrance/GRE,1 or 2 years
Southampton Metropolitan University,B.Sc Physics,16718,Merit Based,3 or 4 years
Southampton Metropolitan University,Medical Degree / MD,67796,Entrance Exam,5+ years
Southampton Metropolitan University,MS Artificial Intelligence,24816,Entrance Exam/Merit,1 or 2 years
Glasgow City University,MS Artificial Intelligence,44626,Entrance Exam/Merit,1 or 2 years
Glasgow City University,Medical Degree / MD,41811,Entrance Exam,5+ years
Glasgow City University,B.Sc Computer Science,17328,Entrance Exam/Merit,3 or 4 years
Glasgow City University,B.A. Economics,18954,Merit Based,3 or 4 years
Glasgow City University,BBA / Business Administration,24302,Merit Based,3 or 4 years
Glasgow Metropolitan University,BBA / Business Administration,22471,Merit Based,3 or 4 years
Glasgow Metropolitan University,B.Sc Physics,15594,Merit Based,3 or 4 years
Glasgow Metropolitan University,MBA / Master of Business,39490,GMAT/GRE/Entrance,1 or 2 years
Glasgow Metropolitan University,Medical Degree / MD,43883,Entrance Exam,5+ years
Bristol Metropolitan University,BBA / Business Administration,24348,Merit Based,3 or 4 years
Bristol Metropolitan University,B.Sc Physics,21786,Merit Based,3 or 4 years
Bristol Metropolitan University,B.Sc Computer Science,15464,Entrance Exam/Merit,3 or 4 years
Birmingham College London,MBA / Master of Business,31486,GMAT/GRE/Entrance,1 or 2 years
Birmingham College London,MS Artificial Intelligence,38755,Entrance Exam/Merit,1 or 2 years
Birmingham College London,B.A. Economics,26959,Merit Based,3 or 4 years
Birmingham College London,Medical Degree / MD,62057,Entrance Exam,5+ years
Belfast Institute,B.Sc Computer Science,30815,Entrance Exam/Merit,3 or 4 years
Belfast Institute,MS Artificial Intelligence,43031,Entrance Exam/Merit,1 or 2 years
Belfast Institute,B.Sc Physics,22835,Merit Based,3 or 4 years
Belfast Institute,M.Sc Data Science,27470,Entrance/GRE,1 or 2 years
Belfast Institute,MBA / Master of Business,52701,GMAT/GRE/Entrance,1 or 2 years
London Metropolitan University,MS Artificial Intelligence,20693,Entrance Exam/Merit,1 or 2 years
London Metropolitan University,M.Sc Data Science,25490,Entrance/GRE,1 or 2 years
London Metropolitan University,B.Sc Physics,22994,Merit Based,3 or 4 years
London Metropolitan University,B.A. Economics,21588,Merit Based,3 or 4 years
London Metropolitan University,MBA / Master of Business,32771,GMAT/GRE/Entrance,1 or 2 years
Birmingham City University,BBA / Business Administration,19500,Merit Based,3 or 4 years
Birmingham City University,Medical Degree / MD,60591,Entrance Exam,5+ years
Birmingham City University,B.Sc Computer Science,34624,Entrance Exam/Merit,3 or 4 years
Birmingham City University,B.A. Economics,27344,Merit Based,3 or 4 years
Birmingham City University,MBA / Master of Business,27564,GMAT/GRE/Entrance,1 or 2 years
Cambridge College London,B.Sc Physics,24976,Merit Based,3 or 4 years
Cambridge College London,Medical Degree / MD,43496,Entrance Exam,5+ years
Cambridge College London,MS Artificial Intelligence,31681,Entrance Exam/Merit,1 or 2 years
Cambridge College London,B.A. Economics,24379,Merit Based,3 or 4 years
University of Leicester,BBA / Business Administration,22539,Merit Based,3 or 4 years
University of Leicester,MBA / Master of Business,46011,GMAT/GRE/Entrance,1 or 2 years
University of Leicester,B.Sc Computer Science,20994,Entrance Exam/Merit,3 or 4 years
University of Leicester,Medical Degree / MD,64987,Entrance Exam,5+ years
Birmingham Royal College,BBA / Business Administration,24107,Merit Based,3 or 4 years
Birmingham Royal College,MBA / Master of Business,42487,GMAT/GRE/Entrance,1 or 2 years
Birmingham Royal College,MS Artificial Intelligence,20817,Entrance Exam/Merit,1 or 2 years
London City University,MBA / Master of Business,58817,GMAT/GRE/Entrance,1 or 2 years
London City University,BBA / Business Administration,20684,Merit Based,3 or 4 years
London City University,Medical Degree / MD,46181,Entrance Exam,5+ years
Cardiff Institute,B.Sc Computer Science,21410,Entrance Exam/Merit,3 or 4 years
Cardiff Institute,M.Sc Data Science,20680,Entrance/GRE,1 or 2 years
Cardiff Institute,B.Sc Physics,15409,Merit Based,3 or 4 years
Pennsylvania A&M,BBA / Business Administration,20380,Merit Based,3 or 4 years
Pennsylvania A&M,MS Artificial Intelligence,38555,Entrance Exam/Merit,1 or 2 years
Pennsylvania A&M,M.Sc Data Science,35335,Entrance/GRE,1 or 2 years
Pennsylvania A&M,MBA / Master of Business,44211,GMAT/GRE/Entrance,1 or 2 years
Philadelphia Polytechnic,MS Artificial Intelligence,38182,Entrance Exam/Merit,1 or 2 years
Philadelphia Polytechnic,MBA / Master of Business,52207,GMAT/GRE/Entrance,1 or 2 years
Philadelphia Polytechnic,M.Sc Data Science,21370,Entrance/GRE,1 or 2 years
Philadelphia Polytechnic,B.Sc Physics,20687,Merit Based,3 or 4 years
Philadelphia Polytechnic,B.A. Economics,21611,Merit Based,3 or 4 years
Washington D.C. A&M,B.Sc Physics,22641,Merit Based,3 or 4 years
Washington D.C. A&M,B.A. Economics,18420,Merit Based,3 or 4 years
Washington D.C. A&M,M.Sc Data Science,28557,Entrance/GRE,1 or 2 years
Washington D.C. A&M,MBA / Master of Business,57366,GMAT/GRE/Entrance,1 or 2 years
Pennsylvania Institute of Technology,M.Sc Data Science,35303,Entrance/GRE,1 or 2 years
Pennsylvania Institute of Technology,B.Sc Computer Science,34536,Entrance Exam/Merit,3 or 4 years
Pennsylvania Institute of Technology,B.A. Economics,26246,Merit Based,3 or 4 years
Pennsylvania Institute of Technology,Medical Degree / MD,48724,Entrance Exam,5+ years
New York Institute of Technology,B.A. Economics,25172,Merit Based,3 or 4 years
New York Institute of Technology,B.Sc Physics,19515,Merit Based,3 or 4 years
New York Institute of Technology,MS Artificial Intelligence,26869,Entrance Exam/Merit,1 or 2 years
Virginia Polytechnic,B.Sc Physics,23761,Merit Based,3 or 4 years
Virginia Polytechnic,B.Sc Computer Science,27252,Entrance Exam/Merit,3 or 4 years
Virginia Polytechnic,MS Artificial Intelligence,20032,Entrance Exam/Merit,1 or 2 years
Virginia Polytechnic,BBA / Business Administration,17572,Merit Based,3 or 4 years
Boston Institute of Technology,B.Sc Computer Science,17674,Entrance Exam/Merit,3 or 4 years
Boston Institute of Technology,MS Artificial Intelligence,23038,Entrance Exam/Merit,1 or 2 years
Boston Institute of Technology,MBA / Master of Business,53276,GMAT/GRE/Entrance,1 or 2 years
Texas A&M,B.A. Economics,20151,Merit Based,3 or 4 years
Texas A&M,BBA / Business Administration,16156,Merit Based,3 or 4 years
Texas A&M,Medical Degree / MD,36950,Entrance Exam,5+ years
Texas A&M,M.Sc Data Science,31734,Entrance/GRE,1 or 2 years
Texas A&M,MBA / Master of Business,59229,GMAT/GRE/Entrance,1 or 2 years
University of Illinois,B.Sc Computer Science,31018,Entrance Exam/Merit,3 or 4 years
University of Illinois,B.A. Economics,19338,Merit Based,3 or 4 years
University of Illinois,Medical Degree / MD,66017,Entrance Exam,5+ years
New York Polytechnic,MBA / Master of Business,33159,GMAT/GRE/Entrance,1 or 2 years
New York Polytechnic,B.Sc Physics,22348,Merit Based,3 or 4 years
New York Polytechnic,B.A. Economics,25501,Merit Based,3 or 4 years
San Francisco State University,BBA / Business Administration,19042,Merit Based,3 or 4 years
San Francisco State University,MBA / Master of Business,25087,GMAT/GRE/Entrance,1 or 2 years
San Francisco State University,B.Sc Physics,21784,Merit Based,3 or 4 years
San Francisco State University,MS Artificial Intelligence,34954,Entrance Exam/Merit,1 or 2 years
San Francisco State University,B.Sc Computer Science,24790,Entrance Exam/Merit,3 or 4 years
Massachusetts Polytechnic,B.Sc Physics,23126,Merit Based,3 or 4 years
Massachusetts Polytechnic,MS Artificial Intelligence,30047,Entrance Exam/Merit,1 or 2 years
Massachusetts Polytechnic,MBA / Master of Business,27237,GMAT/GRE/Entrance,1 or 2 years
Chicago Polytechnic,B.A. Economics,23943,Merit Based,3 or 4 years
Chicago Polytechnic,B.Sc Physics,21830,Merit Based,3 or 4 years
Chicago Polytechnic,MBA / Master of Business,46968,GMAT/GRE/Entrance,1 or 2 years
Illinois Institute of Technology,B.Sc Computer Science,15955,Entrance Exam/Merit,3 or 4 years
Illinois Institute of Technology,MBA / Master of Business,42330,GMAT/GRE/Entrance,1 or 2 years
Illinois Institute of Technology,Medical Degree / MD,77566,Entrance Exam,5+ years
Illinois Institute of Technology,BBA / Business Administration,28851,Merit Based,3 or 4 years
Illinois Institute of Technology,B.Sc Physics,17100,Merit Based,3 or 4 years
San Francisco A&M,BBA / Business Administration,18915,Merit Based,3 or 4 years
San Francisco A&M,MBA / Master of Business,27459,GMAT/GRE/Entrance,1 or 2 years
San Francisco A&M,MS Artificial Intelligence,38684,Entrance Exam/Merit,1 or 2 years
San Francisco A&M,B.A. Economics,13609,Merit Based,3 or 4 years
Washington D.C. Institute of Technology,MS Artificial Intelligence,41002,Entrance Exam/Merit,1 or 2 years
Washington D.C. Institute of Technology,B.Sc Computer Science,25240,Entrance Exam/Merit,3 or 4 years
Washington D.C. Institute of Technology,B.Sc Physics,18135,Merit Based,3 or 4 years
Washington D.C. Institute of Technology,B.A. Economics,12348,Merit Based,3 or 4 years
Virginia A&M,B.Sc Computer Science,31278,Entrance Exam/Merit,3 or 4 years
Virginia A&M,BBA / Business Administration,24190,Merit Based,3 or 4 years
Virginia A&M,B.Sc Physics,16989,Merit Based,3 or 4 years
Virginia A&M,B.A. Economics,26376,Merit Based,3 or 4 years
Washington D.C. State University,BBA / Business Administration,16820,Merit Based,3 or 4 years
Washington D.C. State University,MBA / Master of Business,30702,GMAT/GRE/Entrance,1 or 2 years
Washington D.C. State University,B.Sc Physics,21263,Merit Based,3 or 4 years
Washington D.C. State University,B.A. Economics,15018,Merit Based,3 or 4 years
Houston Institute of Technology,BBA / Business Administration,19625,Merit Based,3 or 4 years
Houston Institute of Technology,Medical Degree / MD,56152,Entrance Exam,5+ years
Houston Institute of Technology,B.Sc Physics,20355,Merit Based,3 or 4 years
Houston Institute of Technology,B.A. Economics,24216,Merit Based,3 or 4 years
Atlanta A&M,MBA / Master of Business,54896,GMAT/GRE/Entrance,1 or 2 years
Atlanta A&M,MS Artificial Intelligence,37622,Entrance Exam/Merit,1 or 2 years
Atlanta A&M,B.A. Economics,13448,Merit Based,3 or 4 years
Atlanta A&M,BBA / Business Administration,25733,Merit Based,3 or 4 years
University of Virginia,MS Artificial Intelligence,25435,Entrance Exam/Merit,1 or 2 years
University of Virginia,B.A. Economics,12843,Merit Based,3 or 4 years
University of Virginia,Medical Degree / MD,49971,Entrance Exam,5+ years
Dallas Polytechnic,B.Sc Physics,22056,Merit Based,3 or 4 years
Dallas Polytechnic,MBA / Master of Business,53481,GMAT/GRE/Entrance,1 or 2 years
Dallas Polytechnic,B.Sc Computer Science,27298,Entrance Exam/Merit,3 or 4 years
Dallas Polytechnic,M.Sc Data Science,39575,Entrance/GRE,1 or 2 years
Washington D.C. Polytechnic,MS Artificial Intelligence,21748,Entrance Exam/Merit,1 or 2 years
Washington D.C. Polytechnic,B.Sc Physics,20130,Merit Based,3 or 4 years
Washington D.C. Polytechnic,MBA / Master of Business,53215,GMAT/GRE/Entrance,1 or 2 years
Miami Institute of Technology,B.Sc Computer Science,27565,Entrance Exam/Merit,3 or 4 years
Miami Institute of Technology,M.Sc Data Science,33518,Entrance/GRE,1 or 2 years
Miami Institute of Technology,MBA / Master of Business,34334,GMAT/GRE/Entrance,1 or 2 years
Miami Institute of Technology,B.A. Economics,24920,Merit Based,3 or 4 years
Michigan A&M,B.A. Economics,25702,Merit Based,3 or 4 years
Michigan A&M,MBA / Master of Business,25026,GMAT/GRE/Entrance,1 or 2 years
Michigan A&M,BBA / Business Administration,15913,Merit Based,3 or 4 years
Denver A&M,M.Sc Data Science,25590,Entrance/GRE,1 or 2 years
Denver A&M,MBA / Master of Business,36429,GMAT/GRE/Entrance,1 or 2 years
Denver A&M,B.Sc Computer Science,20092,Entrance Exam/Merit,3 or 4 years
Denver A&M,BBA / Business Administration,17681,Merit Based,3 or 4 years
Denver A&M,B.A. Economics,14578,Merit Based,3 or 4 years
Miami Polytechnic,B.Sc Computer Science,34116,Entrance Exam/Merit,3 or 4 years
Miami Polytechnic,Medical Degree / MD,38123,Entrance Exam,5+ years
Miami Polytechnic,B.Sc Physics,13534,Merit Based,3 or 4 years
Miami Polytechnic,MS Artificial Intelligence,39958,Entrance Exam/Merit,1 or 2 years
Phoenix Institute of Technology,Medical Degree / MD,72708,Entrance Exam,5+ years
Phoenix Institute of Technology,B.Sc Physics,18886,Merit Based,3 or 4 years
Phoenix Institute of Technology,BBA / Business Administration,16534,Merit Based,3 or 4 years
University of Miami,B.Sc Computer Science,17822,Entrance Exam/Merit,3 or 4 years
University of Miami,B.Sc Physics,14893,Merit Based,3 or 4 years
University of Miami,MBA / Master of Business,45416,GMAT/GRE/Entrance,1 or 2 years
University of Miami,B.A. Economics,27994,Merit Based,3 or 4 years
San Francisco Polytechnic,MBA / Master of Business,53536,GMAT/GRE/Entrance,1 or 2 years
San Francisco Polytechnic,BBA / Business Administration,23443,Merit Based,3 or 4 years
San Francisco Polytechnic,M.Sc Data Science,24891,Entrance/GRE,1 or 2 years
San Francisco Polytechnic,B.A. Economics,14756,Merit Based,3 or 4 years
San Francisco Polytechnic,B.Sc Computer Science,21448,Entrance Exam/Merit,3 or 4 years
Massachusetts State University,B.Sc Physics,13801,Merit Based,3 or 4 years
Massachusetts State University,B.A. Economics,24242,Merit Based,3 or 4 years
Massachusetts State University,B.Sc Computer Science,17028,Entrance Exam/Merit,3 or 4 years
San Francisco Institute of Technology,BBA / Business Administration,21389,Merit Based,3 or 4 years
San Francisco Institute of Technology,B.Sc Physics,12885,Merit Based,3 or 4 years
San Francisco Institute of Technology,MS Artificial Intelligence,28756,Entrance Exam/Merit,1 or 2 years
San Francisco Institute of Technology,MBA / Master of Business,38134,GMAT/GRE/Entrance,1 or 2 years
Georgia Polytechnic,B.A. Economics,12467,Merit Based,3 or 4 years
Georgia Polytechnic,Medical Degree / MD,45838,Entrance Exam,5+ years
Georgia Polytechnic,B.Sc Computer Science,27523,Entrance Exam/Merit,3 or 4 years
Illinois Polytechnic,B.A. Economics,16219,Merit Based,3 or 4 years
Illinois Polytechnic,Medical Degree / MD,65521,Entrance Exam,5+ years
Illinois Polytechnic,M.Sc Data Science,23516,Entrance/GRE,1 or 2 years
Illinois Polytechnic,BBA / Business Administration,17424,Merit Based,3 or 4 years
Miami A&M,M.Sc Data Science,28828,Entrance/GRE,1 or 2 years
Miami A&M,MS Artificial Intelligence,25419,Entrance Exam/Merit,1 or 2 years
Miami A&M,B.Sc Computer Science,23040,Entrance Exam/Merit,3 or 4 years
Atlanta Polytechnic,MBA / Master of Business,51865,GMAT/GRE/Entrance,1 or 2 years
Atlanta Polytechnic,MS Artificial Intelligence,20961,Entrance Exam/Merit,1 or 2 years
Atlanta Polytechnic,B.A. Economics,21793,Merit Based,3 or 4 years
Arizona Polytechnic,M.Sc Data Science,20115,Entrance/GRE,1 or 2 years
Arizona Polytechnic,Medical Degree / MD,68766,Entrance Exam,5+ years
Arizona Polytechnic,B.Sc Computer Science,18777,Entrance Exam/Merit,3 or 4 years
Arizona Polytechnic,B.A. Economics,12881,Merit Based,3 or 4 years
Arizona Polytechnic,MS Artificial Intelligence,38359,Entrance Exam/Merit,1 or 2 years
New York A&M,Medical Degree / MD,43945,Entrance Exam,5+ years
New York A&M,MS Artificial Intelligence,28993,Entrance Exam/Merit,1 or 2 years
New York A&M,M.Sc Data Science,38147,Entrance/GRE,1 or 2 years
New York A&M,MBA / Master of Business,47805,GMAT/GRE/Entrance,1 or 2 years
Phoenix Polytechnic,Medical Degree / MD,53019,Entrance Exam,5+ years
Phoenix Polytechnic,B.Sc Physics,21123,Merit Based,3 or 4 years
Phoenix Polytechnic,MS Artificial Intelligence,39441,Entrance Exam/Merit,1 or 2 years
Dallas A&M,BBA / Business Administration,21674,Merit Based,3 or 4 years
Dallas A&M,M.Sc Data Science,38158,Entrance/GRE,1 or 2 years
Dallas A&M,Medical Degree / MD,57838,Entrance Exam,5+ years
Dallas A&M,B.Sc Physics,20860,Merit Based,3 or 4 years
Dallas A&M,MBA / Master of Business,34988,GMAT/GRE/Entrance,1 or 2 years
California Polytechnic,MBA / Master of Business,51659,GMAT/GRE/Entrance,1 or 2 years
California Polytechnic,B.A. Economics,24220,Merit Based,3 or 4 years
California Polytechnic,B.Sc Physics,16653,Merit Based,3 or 4 years
California Polytechnic,BBA / Business Administration,16154,Merit Based,3 or 4 years
California Polytechnic,MS Artificial Intelligence,43632,Entrance Exam/Merit,1 or 2 years
Florida Institute of Technology,MS Artificial Intelligence,27606,Entrance Exam/Merit,1 or 2 years
Florida Institute of Technology,B.A. Economics,20800,Merit Based,3 or 4 years
Florida Institute of Technology,MBA / Master of Business,31626,GMAT/GRE/Entrance,1 or 2 years
Florida Institute of Technology,M.Sc Data Science,20440,Entrance/GRE,1 or 2 years
Florida Institute of Technology,Medical Degree / MD,72999,Entrance Exam,5+ years
Los Angeles A&M,M.Sc Data Science,18541,Entrance/GRE,1 or 2 years
Los Angeles A&M,MBA / Master of Business,39297,GMAT/GRE/Entrance,1 or 2 years
Los Angeles A&M,B.Sc Physics,17838,Merit Based,3 or 4 years
Los Angeles A&M,MS Artificial Intelligence,40421,Entrance Exam/Merit,1 or 2 years
Los Angeles Institute of Technology,BBA / Business Administration,26080,Merit Based,3 or 4 years
Los Angeles Institute of Technology,B.Sc Computer Science,28374,Entrance Exam/Merit,3 or 4 years
Los Angeles Institute of Technology,M.Sc Data Science,18874,Entrance/GRE,1 or 2 years
Seattle Polytechnic,BBA / Business Administration,16403,Merit Based,3 or 4 years
Seattle Polytechnic,M.Sc Data Science,21320,Entrance/GRE,1 or 2 years
Seattle Polytechnic,MBA / Master of Business,28273,GMAT/GRE/Entrance,1 or 2 years
Seattle Polytechnic,B.A. Economics,20246,Merit Based,3 or 4 years
Seattle Polytechnic,B.Sc Computer Science,25958,Entrance Exam/Merit,3 or 4 years
Atlanta Institute of Technology,BBA / Business Administration,15432,Merit Based,3 or 4 years
Atlanta Institute of Technology,MBA / Master of Business,53805,GMAT/GRE/Entrance,1 or 2 years
Atlanta Institute of Technology,MS Artificial Intelligence,44279,Entrance Exam/Merit,1 or 2 years
Pennsylvania Polytechnic,B.Sc Physics,13199,Merit Based,3 or 4 years
Pennsylvania Polytechnic,Medical Degree / MD,62953,Entrance Exam,5+ years
