name,location,university_type,accreditation,ranking_score,actual_location
Missouri Institute of Technology,United States,Public,"NAAC A+, EQUIS",8.5,"Missouri, USA"
University of California,United States,Public,"National Accreditation, NAAC A+",7.0,"California, USA"
Omaha State University,United States,Private,EQUIS,5.3,"Omaha, USA"
University of Utah,United States,Public,ABET,5.8,"Utah, USA"
Maine International University,United States,Public,Regional Accreditation,7.5,"Maine, USA"
University of South Carolina,United States,Public,AMBA,7.1,"South Carolina, USA"
University of Las Vegas,United States,Private,"ABET, Regional Accreditation",5.7,"Las Vegas, USA"
California State University,United States,Private,AACSB,7.8,"California, USA"
University of Delaware,United States,Private,ABET,9.6,"Delaware, USA"
University of Oakland,United States,Private,"ABET, NAAC A++",6.6,"Oakland, USA"
San Antonio Institute of Technology,United States,Public,"EQUIS, AACSB",9.3,"San Antonio, USA"
University of New York,United States,Private,"National Accreditation, WASC",8.5,"New York, USA"
University of Tulsa,United States,Private,"National Accreditation, Regional Accreditation",5.4,"Tulsa, USA"
Minnesota State University,United States,Public,Regional Accreditation,8.5,"Minnesota, USA"
University of Indiana,United States,Private,WASC,6.2,"Indiana, USA"
Las Vegas State University,United States,Public,"ABET, Regional Accreditation",7.1,"Las Vegas, USA"
University of Florida,United States,Public,WASC,9.9,"Florida, USA"
South Dakota State University,United States,Public,"ABET, Regional Accreditation",7.3,"South Dakota, USA"
Memphis State University,United States,Private,AACSB,6.6,"Memphis, USA"
Michigan State University,United States,Private,"WASC, EQUIS",9.9,"Michigan, USA"
University of Minnesota,United States,Private,"AMBA, ABET",8.7,"Minnesota, USA"
Philadelphia State University,United States,Private,WASC,9.1,"Philadelphia, USA"
Delaware A&M,United States,Private,"ABET, NAAC A+",8.6,"Delaware, USA"
New Jersey State University,United States,Public,AACSB,9.7,"New Jersey, USA"
Fort Worth State University,United States,Private,"NAAC A+, ABET",9.3,"Fort Worth, USA"
Denver Tech,United States,Private,ABET,8.8,"Denver, USA"
University of Kentucky,United States,Public,WASC,5.5,"Kentucky, USA"
Indiana Global University,United States,Private,"AMBA, ABET",6.4,"Indiana, USA"
New Jersey A&M,United States,Private,"WASC, EQUIS",8.9,"New Jersey, USA"
Phoenix State University,United States,Public,"AMBA, NAAC A+",9.5,"Phoenix, USA"
Albuquerque State University,United States,Private,"AMBA, AMBA",9.4,"Albuquerque, USA"
Louisville Tech,United States,Private,"AMBA, Regional Accreditation",5.2,"Louisville, USA"
Fresno State University,United States,Public,National Accreditation,9.0,"Fresno, USA"
Atlanta State University,United States,Public,"Regional Accreditation, NAAC A+",9.5,"Atlanta, USA"
Colorado State University,United States,Private,EQUIS,7.6,"Colorado, USA"
University of Albuquerque,United States,Public,EQUIS,8.8,"Albuquerque, USA"
Washington Institute of Technology,United States,Public,NAAC A+,7.7,"Washington, USA"
New Mexico Institute of Technology,United States,Private,"ABET, AMBA",5.8,"New Mexico, USA"
University of Tennessee,United States,Public,AMBA,8.5,"Tennessee, USA"
San Jose State University,United States,Public,"National Accreditation, ABET",6.5,"San Jose, USA"
Oregon State University,United States,Private,AMBA,9.5,"Oregon, USA"
Charlotte Institute of Technology,United States,Public,Regional Accreditation,5.7,"Charlotte, USA"
South Dakota Global University,United States,Public,Regional Accreditation,5.7,"South Dakota, USA"
Arlington State University,United States,Public,"National Accreditation, NAAC A++",7.1,"Arlington, USA"
University of Baltimore,United States,Private,"National Accreditation, AMBA",5.8,"Baltimore, USA"
Vermont Institute of Technology,United States,Private,"NAAC A++, Regional Accreditation",7.3,"Vermont, USA"
Tulsa Institute of Technology,United States,Public,"NAAC A++, NAAC A++",5.9,"Tulsa, USA"
University of Dallas,United States,Public,AACSB,5.9,"Dallas, USA"
Alabama Global University,United States,Public,"NAAC A++, NAAC A++",5.9,"Alabama, USA"
Louisiana State University,United States,Public,"Regional Accreditation, NAAC A++",9.3,"Louisiana, USA"
Ohio State University,United States,Public,"Regional Accreditation, WASC",7.3,"Ohio, USA"
University of Mississippi,United States,Private,"AMBA, AMBA",5.5,"Mississippi, USA"
West Virginia State University,United States,Public,"Regional Accreditation, AMBA",5.6,"West Virginia, USA"
New Orleans Global University,United States,Public,NAAC A++,8.3,"New Orleans, USA"
Kansas City State University,United States,Public,"Regional Accreditation, Regional Accreditation",5.6,"Kansas City, USA"
Virginia Beach A&M,United States,Private,"National Accreditation, National Accreditation",7.2,"Virginia Beach, USA"
San Diego Institute of Technology,United States,Public,AACSB,7.4,"San Diego, USA"
Austin State University,United States,Private,"NAAC A++, National Accreditation",5.1,"Austin, USA"
University of Austin,United States,Private,AMBA,7.0,"Austin, USA"
University of Atlanta,United States,Private,NAAC A++,7.6,"Atlanta, USA"
Kansas City Tech,United States,Public,National Accreditation,6.0,"Kansas City, USA"
University of Omaha,United States,Private,EQUIS,9.8,"Omaha, USA"
University of Rhode Island,United States,Public,AMBA,9.3,"Rhode Island, USA"
University of Portland,United States,Private,WASC,8.2,"Portland, USA"
University of Denver,United States,Private,"Regional Accreditation, ABET",5.9,"Denver, USA"
Houston State University,United States,Private,NAAC A++,7.1,"Houston, USA"
Tennessee State University,United States,Public,Regional Accreditation,5.5,"Tennessee, USA"
Fresno Global University,United States,Private,NAAC A++,5.0,"Fresno, USA"
San Jose A&M,United States,Private,"NAAC A+, Regional Accreditation",7.0,"San Jose, USA"
Massachusetts Global University,United States,Public,"AMBA, ABET",7.0,"Massachusetts, USA"
Missouri State University,United States,Private,WASC,9.4,"Missouri, USA"
Alaska State University,United States,Public,"AACSB, NAAC A+",6.8,"Alaska, USA"
University of Phoenix,United States,Private,"AMBA, NAAC A+",6.2,"Phoenix, USA"
University of North Dakota,United States,Private,"WASC, AACSB",7.5,"North Dakota, USA"
North Dakota Institute of Technology,United States,Private,"WASC, National Accreditation",7.1,"North Dakota, USA"
University of Virginia Beach,United States,Public,Regional Accreditation,8.8,"Virginia Beach, USA"
Virginia Institute of Technology,United States,Public,"ABET, AMBA",7.6,"Virginia, USA"
Maryland Global University,United States,Private,"NAAC A++, NAAC A++",7.3,"Maryland, USA"
University of Alaska,United States,Private,"AACSB, NAAC A++",9.7,"Alaska, USA"
Jacksonville Institute of Technology,United States,Private,AACSB,9.3,"Jacksonville, USA"
University of Arizona,United States,Private,EQUIS,9.4,"Arizona, USA"
Texas State University,United States,Public,National Accreditation,6.3,"Texas, USA"
Tennessee Institute of Technology,United States,Private,National Accreditation,8.8,"Tennessee, USA"
Ohio Global University,United States,Public,National Accreditation,7.4,"Ohio, USA"
North Carolina Institute of Technology,United States,Private,"AACSB, AACSB",8.1,"North Carolina, USA"
Nevada Institute of Technology,United States,Private,NAAC A++,7.6,"Nevada, USA"
Indianapolis Tech,United States,Private,"WASC, WASC",6.0,"Indianapolis, USA"
New Mexico State University,United States,Private,ABET,6.6,"New Mexico, USA"
Virginia Beach State University,United States,Private,"National Accreditation, NAAC A++",5.7,"Virginia Beach, USA"
North Dakota State University,United States,Public,EQUIS,9.8,"North Dakota, USA"
University of Long Beach,United States,Public,"NAAC A+, WASC",8.4,"Long Beach, USA"
Wisconsin State University,United States,Public,"EQUIS, National Accreditation",7.4,"Wisconsin, USA"
Raleigh A&M,United States,Private,"NAAC A+, AACSB",8.9,"Raleigh, USA"
Houston Global University,United States,Public,"NAAC A+, ABET",7.5,"Houston, USA"
Atlanta International University,United States,Public,"AACSB, AACSB",6.1,"Atlanta, USA"
Colorado Springs International University,United States,Private,"National Accreditation, NAAC A+",5.2,"Colorado Springs, USA"
San Francisco Global University,United States,Private,"AMBA, NAAC A++",6.6,"San Francisco, USA"
Idaho International University,United States,Private,"National Accreditation, WASC",6.7,"Idaho, USA"
University of Idaho,United States,Private,"NAAC A+, WASC",6.0,"Idaho, USA"
University of New Orleans,United States,Private,NAAC A++,8.4,"New Orleans, USA"
Wyoming Institute of Technology,United States,Private,"NAAC A++, Regional Accreditation",9.7,"Wyoming, USA"
Virginia State University,United States,Public,AMBA,5.6,"Virginia, USA"
Kansas A&M,United States,Public,"National Accreditation, WASC",8.5,"Kansas, USA"
Boston State University,United States,Private,"WASC, Regional Accreditation",5.2,"Boston, USA"
Fort Worth International University,United States,Private,National Accreditation,9.1,"Fort Worth, USA"
Arkansas Institute of Technology,United States,Private,"AACSB, EQUIS",5.2,"Arkansas, USA"
University of Hawaii,United States,Public,NAAC A+,9.8,"Hawaii, USA"
Mississippi A&M,United States,Public,NAAC A+,7.3,"Mississippi, USA"
Nebraska A&M,United States,Private,"AMBA, Regional Accreditation",5.9,"Nebraska, USA"
Dallas Institute of Technology,United States,Private,ABET,6.8,"Dallas, USA"
Charlotte State University,United States,Private,"ABET, NAAC A+",9.4,"Charlotte, USA"
Hawaii State University,United States,Private,"NAAC A+, WASC",8.7,"Hawaii, USA"
Jacksonville State University,United States,Public,"AACSB, AACSB",6.1,"Jacksonville, USA"
University of Houston,United States,Public,AACSB,6.7,"Houston, USA"
Oklahoma City State University,United States,Public,"Regional Accreditation, WASC",9.6,"Oklahoma City, USA"
Louisville State University,United States,Private,"EQUIS, NAAC A+",7.2,"Louisville, USA"
Washington A&M,United States,Public,National Accreditation,8.2,"Washington, USA"
University of Memphis,United States,Private,NAAC A+,7.3,"Memphis, USA"
Chicago Tech,United States,Private,EQUIS,7.6,"Chicago, USA"
Maryland State University,United States,Private,"National Accreditation, WASC",5.6,"Maryland, USA"
Nevada State University,United States,Public,AACSB,8.4,"Nevada, USA"
University of San Jose,United States,Private,"National Accreditation, NAAC A++",8.8,"San Jose, USA"
Seattle State University,United States,Public,ABET,6.7,"Seattle, USA"
Kansas State University,United States,Private,WASC,7.7,"Kansas, USA"
University of Georgia,United States,Public,NAAC A++,9.7,"Georgia, USA"
Austin Global University,United States,Private,"NAAC A++, ABET",6.1,"Austin, USA"
Portland State University,United States,Private,"ABET, ABET",7.7,"Portland, USA"
University of Nebraska,United States,Private,NAAC A++,7.5,"Nebraska, USA"
University of Louisiana,United States,Public,WASC,5.6,"Louisiana, USA"
University of Columbus,United States,Private,AACSB,6.7,"Columbus, USA"
Oklahoma International University,United States,Private,"NAAC A+, NAAC A++",7.9,"Oklahoma, USA"
University of San Francisco,United States,Public,"EQUIS, National Accreditation",5.9,"San Francisco, USA"
Denver State University,United States,Private,"EQUIS, AMBA",5.8,"Denver, USA"
University of Minneapolis,United States,Public,AMBA,9.7,"Minneapolis, USA"
Minneapolis A&M,United States,Private,WASC,8.8,"Minneapolis, USA"
El Paso State University,United States,Public,"ABET, NAAC A+",9.6,"El Paso, USA"
Illinois State University,United States,Private,"ABET, AACSB",6.7,"Illinois, USA"
Oklahoma State University,United States,Private,ABET,8.6,"Oklahoma, USA"
University of Pennsylvania,United States,Private,AACSB,9.7,"Pennsylvania, USA"
University of Raleigh,United States,Public,"NAAC A+, Regional Accreditation",9.7,"Raleigh, USA"
Oregon Tech,United States,Private,NAAC A++,6.0,"Oregon, USA"
Albuquerque Institute of Technology,United States,Public,AMBA,8.5,"Albuquerque, USA"
Indianapolis State University,United States,Public,AMBA,8.1,"Indianapolis, USA"
Arkansas State University,United States,Private,"National Accreditation, ABET",6.2,"Arkansas, USA"
University of Alabama,United States,Public,NAAC A++,9.5,"Alabama, USA"
University of Arkansas,United States,Private,NAAC A+,9.2,"Arkansas, USA"
University of Seattle,United States,Private,"ABET, EQUIS",5.9,"Seattle, USA"
Michigan International University,United States,Public,EQUIS,8.6,"Michigan, USA"
University of Kansas City,United States,Public,"ABET, AACSB",6.1,"Kansas City, USA"
New Hampshire State University,United States,Private,AACSB,8.7,"New Hampshire, USA"
Nashville State University,United States,Private,National Accreditation,8.7,"Nashville, USA"
University of New Mexico,United States,Public,"NAAC A+, Regional Accreditation",5.2,"New Mexico, USA"
Tampa State University,United States,Public,"AMBA, Regional Accreditation",7.1,"Tampa, USA"
Tucson State University,United States,Public,"NAAC A+, NAAC A+",9.0,"Tucson, USA"
California Global University,United States,Public,"NAAC A+, ABET",8.9,"California, USA"
University of Milwaukee,United States,Private,"WASC, EQUIS",8.8,"Milwaukee, USA"
University of Detroit,United States,Public,NAAC A++,9.9,"Detroit, USA"
Columbus State University,United States,Public,"Regional Accreditation, AACSB",6.3,"Columbus, USA"
Indiana State University,United States,Private,NAAC A+,8.5,"Indiana, USA"
Phoenix International University,United States,Private,NAAC A++,5.5,"Phoenix, USA"
University of Colorado,United States,Public,"WASC, ABET",8.2,"Colorado, USA"
University of Oregon,United States,Public,AACSB,8.6,"Oregon, USA"
New York Global University,United States,Public,AMBA,9.7,"New York, USA"
University of Oklahoma City,United States,Public,"ABET, AACSB",8.3,"Oklahoma City, USA"
Colorado Institute of Technology,United States,Private,"National Accreditation, ABET",5.6,"Colorado, USA"
South Carolina State University,United States,Private,"AMBA, ABET",5.2,"South Carolina, USA"
Sacramento State University,United States,Private,"NAAC A++, ABET",7.6,"Sacramento, USA"
Memphis Global University,United States,Public,"National Accreditation, NAAC A+",5.1,"Memphis, USA"
Tampa A&M,United States,Public,"EQUIS, Regional Accreditation",5.8,"Tampa, USA"
University of Kansas,United States,Private,"EQUIS, NAAC A++",7.1,"Kansas, USA"
University of Boston,United States,Public,ABET,7.9,"Boston, USA"
Oakland Tech,United States,Private,"NAAC A+, EQUIS",9.9,"Oakland, USA"
Seattle A&M,United States,Private,"AACSB, Regional Accreditation",6.6,"Seattle, USA"
Rhode Island State University,United States,Public,"ABET, Regional Accreditation",7.6,"Rhode Island, USA"
University of Vermont,United States,Public,NAAC A+,7.0,"Vermont, USA"
West Virginia Tech,United States,Private,"ABET, WASC",8.7,"West Virginia, USA"
University of Tucson,United States,Private,"Regional Accreditation, NAAC A+",9.7,"Tucson, USA"
University of Maryland,United States,Private,"National Accreditation, NAAC A+",6.6,"Maryland, USA"
Raleigh State University,United States,Private,NAAC A++,5.1,"Raleigh, USA"
Andhra Pradesh Vidyapeeth,India,Private,"NAAC A+, NAAC A++",6.2,"Andhra Pradesh, India"
Academy Lucknow,India,Private,AICTE Approved,8.7,"Lucknow, India"
Institute of Technology Hyderabad,India,Private,NAAC A++,6.8,"Hyderabad, India"
Ahmedabad State University,India,Public,"NAAC A++, UGC Approved",8.2,"Ahmedabad, India"
Odisha University,India,Public,NBA Accredited,9.0,"Odisha, India"
Madhya Pradesh Academy,India,Private,"NAAC A++, NAAC A++",8.9,"Madhya Pradesh, India"
Surat State University,India,Public,NAAC A++,6.6,"Surat, India"
National Institute Surat,India,Public,NBA Accredited,7.4,"Surat, India"
Rajasthan Institute of Technology,India,Public,"UGC Approved, AICTE Approved",7.1,"Rajasthan, India"
Nagpur State University,India,Private,NAAC A+,9.3,"Nagpur, India"
Academy Bhopal,India,Private,UGC Approved,7.0,"Bhopal, India"
Karnataka Vidyapeeth,India,Private,"AICTE Approved, NAAC A++",7.0,"Karnataka, India"
Indore State University,India,Private,NAAC A++,6.6,"Indore, India"
Institute of Technology Chennai,India,Private,NBA Accredited,8.3,"Chennai, India"
University Chandigarh,India,Public,"UGC Approved, NAAC A+",8.7,"Chandigarh, India"
Kolkata State University,India,Private,"AICTE Approved, NAAC A++",7.4,"Kolkata, India"
Vidyapeeth Nagpur,India,Private,"UGC Approved, UGC Approved",9.4,"Nagpur, India"
Bhopal State University,India,Private,"UGC Approved, NAAC A+",9.0,"Bhopal, India"
Bangalore State University,India,Public,"NAAC A+, NAAC A++",6.2,"Bangalore, India"
West Bengal University,India,Private,AICTE Approved,7.7,"West Bengal, India"
Institute of Technology Kochi,India,Public,UGC Approved,8.4,"Kochi, India"
Vidyapeeth Kolkata,India,Private,"NAAC A++, NAAC A++",8.3,"Kolkata, India"
Hyderabad State University,India,Public,UGC Approved,6.2,"Hyderabad, India"
Vidyapeeth Indore,India,Public,NBA Accredited,6.3,"Indore, India"
Delhi State University,India,Public,NBA Accredited,6.9,"Delhi, India"
Punjab Vidyapeeth,India,Public,"NAAC A++, NBA Accredited",6.6,"Punjab, India"
University Mumbai,India,Public,"UGC Approved, AICTE Approved",8.6,"Mumbai, India"
Kochi State University,India,Private,"AICTE Approved, AICTE Approved",8.5,"Kochi, India"
Chandigarh State University,India,Public,"NAAC A++, NAAC A++",7.3,"Chandigarh, India"
Lucknow State University,India,Private,"AICTE Approved, NAAC A++",6.6,"Lucknow, India"
Academy Pune,India,Public,"NBA Accredited, NBA Accredited",8.0,"Pune, India"
Institute of Technology Delhi,India,Private,NAAC A++,6.9,"Delhi, India"
Institute of Technology Bangalore,India,Public,UGC Approved,8.8,"Bangalore, India"
Mumbai State University,India,Private,"AICTE Approved, NBA Accredited",7.5,"Mumbai, India"
Academy Ahmedabad,India,Private,NAAC A+,7.8,"Ahmedabad, India"
Chennai State University,India,Public,"AICTE Approved, NAAC A+",8.6,"Chennai, India"
Pune State University,India,Public,"NBA Accredited, UGC Approved",6.1,"Pune, India"
Haryana Academy,India,Public,NAAC A+,8.5,"Haryana, India"
Tamil Nadu Vidyapeeth,India,Public,NAAC A+,7.3,"Tamil Nadu, India"
Kerala National Institute,India,Public,UGC Approved,6.2,"Kerala, India"
Patna State University,India,Private,"NAAC A+, UGC Approved",7.7,"Patna, India"
Jaipur State University,India,Private,"NBA Accredited, NBA Accredited",8.1,"Jaipur, India"
Telangana National Institute,India,Private,NAAC A+,8.3,"Telangana, India"
Gujarat Vidyapeeth,India,Private,NAAC A+,9.3,"Gujarat, India"
Maharashtra University,India,Private,NAAC A+,7.3,"Maharashtra, India"
Uttar Pradesh Academy,India,Private,"UGC Approved, AICTE Approved",8.5,"Uttar Pradesh, India"
Vidyapeeth Patna,India,Private,"AICTE Approved, NBA Accredited",9.3,"Patna, India"
Bihar National Institute,India,Private,UGC Approved,6.3,"Bihar, India"
Institute of Technology Jaipur,India,Private,NAAC A+,9.2,"Jaipur, India"
Technical University of Bavaria,Germany,Public,AQAS,9.4,"Bavaria, Germany"
University of Applied Sciences Bonn,Germany,Public,AQAS,8.2,"Bonn, Germany"
Hochschule Münster,Germany,Public,Wissenschaftsrat,8.5,"Münster, Germany"
Hochschule Frankfurt,Germany,Public,Wissenschaftsrat,7.9,"Frankfurt, Germany"
Institute of Technology Dresden,Germany,Public,FIBAA,8.2,"Dresden, Germany"
Hochschule Heidelberg,Germany,Public,FIBAA,7.6,"Heidelberg, Germany"
Hochschule Cologne,Germany,Public,Wissenschaftsrat,7.6,"Cologne, Germany"
University of Lower Saxony,Germany,Public,FIBAA,9.1,"Lower Saxony, Germany"
Hochschule Hamburg,Germany,Private,State Accredited,9.8,"Hamburg, Germany"
University of North Rhine-Westphalia,Germany,Private,Wissenschaftsrat,9.4,"North Rhine-Westphalia, Germany"
University of Applied Sciences Berlin,Germany,Public,Wissenschaftsrat,7.4,"Berlin, Germany"
Hochschule Bremen,Germany,Private,ASIIN,8.6,"Bremen, Germany"
Technical University of Frankfurt,Germany,Public,ASIIN,7.2,"Frankfurt, Germany"
Technical University of Stuttgart,Germany,Public,AQAS,7.8,"Stuttgart, Germany"
University of Applied Sciences Karlsruhe,Germany,Private,FIBAA,8.9,"Karlsruhe, Germany"
Hochschule Stuttgart,Germany,Public,AQAS,8.4,"Stuttgart, Germany"
Technical University of Leipzig,Germany,Private,Wissenschaftsrat,7.9,"Leipzig, Germany"
University of Applied Sciences Rhineland-Palatinate,Germany,Public,Wissenschaftsrat,7.6,"Rhineland-Palatinate, Germany"
Institute of Technology Cologne,Germany,Public,AQAS,9.6,"Cologne, Germany"
Hochschule Leipzig,Germany,Public,AQAS,9.5,"Leipzig, Germany"
Institute of Technology Berlin,Germany,Private,AQAS,8.5,"Berlin, Germany"
University of Heidelberg,Germany,Private,AQAS,7.6,"Heidelberg, Germany"
Institute of Technology Düsseldorf,Germany,Public,ASIIN,9.8,"Düsseldorf, Germany"
University of Applied Sciences Nuremberg,Germany,Public,AQAS,9.5,"Nuremberg, Germany"
University of Applied Sciences Bremen,Germany,Public,ASIIN,7.7,"Bremen, Germany"
University of Applied Sciences Münster,Germany,Public,AQAS,9.4,"Münster, Germany"
Institute of Technology Hannover,Germany,Public,Wissenschaftsrat,9.6,"Hannover, Germany"
University of Hamburg,Germany,Public,ASIIN,7.9,"Hamburg, Germany"
University of Applied Sciences Saxony,Germany,Private,ASIIN,7.8,"Saxony, Germany"
Hochschule Dresden,Germany,Public,Wissenschaftsrat,9.1,"Dresden, Germany"
Technical University of Hesse,Germany,Private,ASIIN,8.9,"Hesse, Germany"
Technical University of Thuringia,Germany,Public,State Accredited,7.4,"Thuringia, Germany"
University of Applied Sciences Aachen,Germany,Public,State Accredited,8.3,"Aachen, Germany"
Hochschule Bonn,Germany,Public,FIBAA,8.1,"Bonn, Germany"
Hochschule Düsseldorf,Germany,Public,FIBAA,8.4,"Düsseldorf, Germany"
Hochschule Berlin,Germany,Private,FIBAA,8.9,"Berlin, Germany"
Hochschule Karlsruhe,Germany,Public,FIBAA,7.8,"Karlsruhe, Germany"
Hochschule Munich,Germany,Public,Wissenschaftsrat,7.3,"Munich, Germany"
Technical University of Baden-Württemberg,Germany,Public,Wissenschaftsrat,8.2,"Baden-Württemberg, Germany"
Hochschule Hannover,Germany,Public,AQAS,9.4,"Hannover, Germany"
Technical University of Hamburg,Germany,Public,FIBAA,7.9,"Hamburg, Germany"
Hochschule Aachen,Germany,Private,Wissenschaftsrat,7.7,"Aachen, Germany"
Hochschule Nuremberg,Germany,Public,ASIIN,8.0,"Nuremberg, Germany"
National Institute Bhopal,India,Private,AICTE Approved,9.3,"Bhopal, India"
Institute of Advanced Studies Chandigarh,India,Public,NBA Accredited,8.3,"Chandigarh, India"
Andhra Pradesh National Institute,India,Private,"AICTE Approved, AICTE Approved",6.7,"Andhra Pradesh, India"
Uttar Pradesh Institute of Advanced Studies,India,Public,"NAAC A+, NAAC A+",9.4,"Uttar Pradesh, India"
School of Computing Ahmedabad,India,Public,"UGC Approved, AICTE Approved",8.6,"Ahmedabad, India"
National Institute Patna,India,Public,"NAAC A++, NAAC A+",8.9,"Patna, India"
Haryana Institute of Management,India,Private,"NBA Accredited, NAAC A++",6.4,"Haryana, India"
Academy Bangalore,India,Public,"NAAC A++, AICTE Approved",6.7,"Bangalore, India"
Telangana School of Computing,India,Private,"NBA Accredited, NAAC A+",7.9,"Telangana, India"
Engineering College Bhopal,India,Public,"NBA Accredited, NAAC A+",6.5,"Bhopal, India"
Tamil Nadu Engineering College,India,Public,NAAC A++,8.2,"Tamil Nadu, India"
Telangana Institute of Advanced Studies,India,Private,"NBA Accredited, NBA Accredited",7.7,"Telangana, India"
Engineering College Delhi,India,Public,"NAAC A++, NBA Accredited",8.8,"Delhi, India"
West Bengal Polytechnic Institute,India,Public,AICTE Approved,8.2,"West Bengal, India"
West Bengal Vidyapeeth,India,Public,NAAC A++,7.7,"West Bengal, India"
Polytechnic Institute Mumbai,India,Public,NAAC A++,7.5,"Mumbai, India"
Tamil Nadu Polytechnic Institute,India,Public,AICTE Approved,7.6,"Tamil Nadu, India"
Academy Patna,India,Private,AICTE Approved,8.5,"Patna, India"
Gujarat Institute of Advanced Studies,India,Public,"NBA Accredited, NBA Accredited",7.9,"Gujarat, India"
School of Computing Chandigarh,India,Private,AICTE Approved,7.2,"Chandigarh, India"
West Bengal Institute of Management,India,Public,"UGC Approved, UGC Approved",7.5,"West Bengal, India"
Telangana Vidyapeeth,India,Private,"AICTE Approved, AICTE Approved",8.2,"Telangana, India"
School of Computing Surat,India,Private,"NAAC A+, NAAC A++",7.7,"Surat, India"
Tamil Nadu Academy,India,Private,"AICTE Approved, NBA Accredited",7.1,"Tamil Nadu, India"
Maharashtra National Institute,India,Private,"NBA Accredited, AICTE Approved",7.2,"Maharashtra, India"
Uttar Pradesh Polytechnic Institute,India,Private,"NAAC A+, AICTE Approved",8.3,"Uttar Pradesh, India"
Institute of Advanced Studies Jaipur,India,Public,NBA Accredited,8.7,"Jaipur, India"
National Institute Delhi,India,Public,NBA Accredited,8.3,"Delhi, India"
Punjab Academy,India,Private,"NBA Accredited, NAAC A+",8.3,"Punjab, India"
Karnataka Polytechnic Institute,India,Public,NBA Accredited,7.4,"Karnataka, India"
Academy Delhi,India,Private,"UGC Approved, NAAC A++",6.8,"Delhi, India"
Rajasthan University,India,Private,AICTE Approved,6.3,"Rajasthan, India"
School of Computing Lucknow,India,Public,"AICTE Approved, NAAC A++",6.8,"Lucknow, India"
University Lucknow,India,Public,"UGC Approved, NBA Accredited",7.2,"Lucknow, India"
Polytechnic Institute Surat,India,Private,UGC Approved,7.1,"Surat, India"
Andhra Pradesh Academy,India,Private,AICTE Approved,8.5,"Andhra Pradesh, India"
Andhra Pradesh School of Computing,India,Private,UGC Approved,9.4,"Andhra Pradesh, India"
Polytechnic Institute Kochi,India,Private,"UGC Approved, NAAC A+",8.8,"Kochi, India"
National Institute Chennai,India,Public,NBA Accredited,8.4,"Chennai, India"
Polytechnic Institute Patna,India,Private,UGC Approved,8.5,"Patna, India"
Vidyapeeth Chennai,India,Public,"NAAC A++, NAAC A++",8.6,"Chennai, India"
Punjab Institute of Management,India,Public,"NAAC A+, UGC Approved",7.2,"Punjab, India"
Telangana Academy,India,Public,NBA Accredited,9.1,"Telangana, India"
Institute of Technology Indore,India,Public,NBA Accredited,8.5,"Indore, India"
Rajasthan School of Computing,India,Private,AICTE Approved,8.0,"Rajasthan, India"
Madhya Pradesh Institute of Technology,India,Private,"NBA Accredited, UGC Approved",9.3,"Madhya Pradesh, India"
Academy Nagpur,India,Public,"NBA Accredited, AICTE Approved",7.7,"Nagpur, India"
Institute of Management Mumbai,India,Public,NAAC A+,7.5,"Mumbai, India"
Kerala Institute of Technology,India,Private,NBA Accredited,7.6,"Kerala, India"
Polytechnic Institute Lucknow,India,Private,"NBA Accredited, NBA Accredited",8.9,"Lucknow, India"
Engineering College Pune,India,Public,"NAAC A++, AICTE Approved",7.2,"Pune, India"
University Pune,India,Public,"AICTE Approved, NBA Accredited",7.0,"Pune, India"
Maharashtra Academy,India,Public,"NAAC A+, NAAC A+",6.9,"Maharashtra, India"
Engineering College Indore,India,Public,AICTE Approved,8.2,"Indore, India"
Andhra Pradesh University,India,Private,NBA Accredited,7.9,"Andhra Pradesh, India"
Maharashtra Institute of Management,India,Private,AICTE Approved,6.5,"Maharashtra, India"
Maharashtra Engineering College,India,Private,"NAAC A+, AICTE Approved",7.7,"Maharashtra, India"
Institute of Management Ahmedabad,India,Public,"UGC Approved, UGC Approved",7.6,"Ahmedabad, India"
West Bengal Institute of Technology,India,Public,AICTE Approved,9.4,"West Bengal, India"
Engineering College Mumbai,India,Public,"AICTE Approved, UGC Approved",8.3,"Mumbai, India"
Gujarat School of Computing,India,Public,AICTE Approved,8.5,"Gujarat, India"
National Institute Hyderabad,India,Public,"AICTE Approved, NAAC A++",8.6,"Hyderabad, India"
Institute of Advanced Studies Indore,India,Public,"NAAC A+, NAAC A+",7.6,"Indore, India"
Institute of Management Delhi,India,Public,AICTE Approved,7.2,"Delhi, India"
Gujarat National Institute,India,Public,NAAC A+,7.2,"Gujarat, India"
Institute of Advanced Studies Kolkata,India,Public,NAAC A++,8.8,"Kolkata, India"
Bihar Institute of Technology,India,Private,NAAC A+,9.3,"Bihar, India"
Tamil Nadu School of Computing,India,Public,"AICTE Approved, UGC Approved",6.0,"Tamil Nadu, India"
Institute of Advanced Studies Hyderabad,India,Public,"NAAC A++, NBA Accredited",9.4,"Hyderabad, India"
Andhra Pradesh Institute of Technology,India,Private,AICTE Approved,9.3,"Andhra Pradesh, India"
Academy Kochi,India,Private,"NAAC A+, NAAC A+",7.0,"Kochi, India"
Engineering College Jaipur,India,Private,"AICTE Approved, NAAC A++",8.3,"Jaipur, India"
Odisha School of Computing,India,Private,NAAC A++,6.7,"Odisha, India"
Engineering College Kolkata,India,Private,"UGC Approved, NAAC A++",7.1,"Kolkata, India"
Karnataka Academy,India,Public,NBA Accredited,8.1,"Karnataka, India"
